docket_id,court_id
63956045,washctapp
63956047,washctapp
63956049,washctapp
63956051,washctapp
63956163,washctapp
63956164,washctapp
63956199,washctapp
63956201,washctapp
63956203,washctapp
63956248,washctapp
63956242,washctapp
63956244,washctapp
63956286,washctapp
63956261,washctapp
63956302,washctapp
63956304,washctapp
63956305,washctapp
63956307,washctapp
63956385,washctapp
63956389,washctapp
63956439,washctapp
63956441,washctapp
63956443,washctapp
63956445,washctapp
63956520,washctapp
63956521,washctapp
63956580,washctapp
63956581,washctapp
63956540,washctapp
63956589,washctapp
63956593,washctapp
63956591,washctapp
63956603,washctapp
